analysis,sigma,threshold,n_anomalies,n_catalog,TP,FP,FN,precision,recall,F1
Cycle 24 - JUNG (FEID),1.0,-15.32985618670969,426.0,1433.0,408.0,18.0,1164.0,0.9577464788732394,0.2595419847328244,0.4084084084084084
Cycle 24 - JUNG (FEID),1.25,-17.750855011795238,345.0,1433.0,329.0,16.0,1212.0,0.9536231884057971,0.2134977287475665,0.3488865323435843
Cycle 24 - JUNG (FEID),1.5,-20.171853836880786,283.0,1433.0,271.0,12.0,1245.0,0.9575971731448764,0.1787598944591029,0.3012784880489161
Cycle 24 - JUNG (FEID),1.75,-22.592852661966333,221.0,1433.0,210.0,11.0,1285.0,0.9502262443438914,0.14046822742474915,0.24475524475524474
Cycle 24 - JUNG (FEID),2.0,-25.01385148705188,177.0,1433.0,169.0,8.0,1311.0,0.9548022598870056,0.11418918918918919,0.20398310199155098
Cycle 24 - JUNG (FEID),2.25,-27.434850312137428,149.0,1433.0,143.0,6.0,1327.0,0.959731543624161,0.09727891156462586,0.1766522544780729
Cycle 24 - JUNG (FEID),2.5,-29.855849137222975,121.0,1433.0,116.0,5.0,1346.0,0.9586776859504132,0.07934336525307797,0.14655716993051168
Cycle 24 - JUNG (FEID),2.75,-32.27684796230852,107.0,1433.0,103.0,4.0,1355.0,0.9626168224299065,0.07064471879286695,0.131629392971246
Cycle 24 - JUNG (FEID),3.0,-34.69784678739407,92.0,1433.0,88.0,4.0,1366.0,0.9565217391304348,0.06052269601100413,0.11384217335058215
Cycle 24 - JUNG (FEID),3.25,-37.11884561247962,77.0,1433.0,74.0,3.0,1378.0,0.961038961038961,0.05096418732782369,0.09679529103989537
Cycle 24 - JUNG (FEID),3.5,-39.539844437565165,64.0,1433.0,62.0,2.0,1386.0,0.96875,0.04281767955801105,0.082010582010582
Cycle 24 - JUNG (FEID),3.75,-41.96084326265071,52.0,1433.0,50.0,2.0,1393.0,0.9615384615384616,0.03465003465003465,0.0668896321070234
Cycle 24 - JUNG (FEID),4.0,-44.38184208773626,43.0,1433.0,41.0,2.0,1399.0,0.9534883720930233,0.02847222222222222,0.05529332434254889
Cycle 24 - MOSC (FEID),1.0,-31.719055939478793,411.0,1433.0,384.0,27.0,1190.0,0.9343065693430657,0.24396442185514614,0.38690176322418135
Cycle 24 - MOSC (FEID),1.25,-36.80532947720096,366.0,1433.0,342.0,24.0,1213.0,0.9344262295081968,0.21993569131832796,0.3560645497136907
Cycle 24 - MOSC (FEID),1.5,-41.89160301492313,323.0,1433.0,299.0,24.0,1236.0,0.9256965944272446,0.19478827361563517,0.3218514531754575
Cycle 24 - MOSC (FEID),1.75,-46.97787655264529,299.0,1433.0,277.0,22.0,1250.0,0.9264214046822743,0.18140144073346431,0.30339539978094193
Cycle 24 - MOSC (FEID),2.0,-52.064150090367455,262.0,1433.0,242.0,20.0,1270.0,0.9236641221374046,0.16005291005291006,0.27282976324689967
Cycle 24 - MOSC (FEID),2.25,-57.15042362808962,224.0,1433.0,205.0,19.0,1294.0,0.9151785714285714,0.13675783855903936,0.2379570516540917
Cycle 24 - MOSC (FEID),2.5,-62.23669716581178,181.0,1433.0,165.0,16.0,1317.0,0.9116022099447514,0.11133603238866396,0.19843656043295246
Cycle 24 - MOSC (FEID),2.75,-67.32297070353395,142.0,1433.0,130.0,12.0,1337.0,0.9154929577464789,0.08861622358554874,0.16159105034182725
Cycle 24 - MOSC (FEID),3.0,-72.40924424125612,97.0,1433.0,91.0,6.0,1367.0,0.9381443298969072,0.062414266117969824,0.11704180064308682
Cycle 24 - MOSC (FEID),3.25,-77.4955177789783,73.0,1433.0,67.0,6.0,1386.0,0.9178082191780822,0.04611149346180317,0.08781127129750983
Cycle 24 - MOSC (FEID),3.5,-82.58179131670046,55.0,1433.0,51.0,4.0,1395.0,0.9272727272727272,0.035269709543568464,0.06795469686875416
Cycle 24 - MOSC (FEID),3.75,-87.66806485442262,44.0,1433.0,40.0,4.0,1403.0,0.9090909090909091,0.02772002772002772,0.05379959650302623
Cycle 24 - MOSC (FEID),4.0,-92.75433839214479,39.0,1433.0,35.0,4.0,1406.0,0.8974358974358975,0.024288688410825817,0.0472972972972973
Cycle 25 - JUNG (FEID),1.0,-11.34181929001748,296.0,399.0,102.0,194.0,320.0,0.34459459459459457,0.24170616113744076,0.2841225626740947
Cycle 25 - JUNG (FEID),1.25,-13.070644981872377,228.0,399.0,78.0,150.0,338.0,0.34210526315789475,0.1875,0.24223602484472054
Cycle 25 - JUNG (FEID),1.5,-14.799470673727274,182.0,399.0,60.0,122.0,351.0,0.32967032967032966,0.145985401459854,0.20236087689713322
Cycle 25 - JUNG (FEID),1.75,-16.52829636558217,138.0,399.0,43.0,95.0,364.0,0.3115942028985507,0.10565110565110565,0.1577981651376147
Cycle 25 - JUNG (FEID),2.0,-18.25712205743707,107.0,399.0,35.0,72.0,371.0,0.32710280373831774,0.08620689655172414,0.1364522417153996
Cycle 25 - JUNG (FEID),2.25,-19.985947749291967,91.0,399.0,29.0,62.0,376.0,0.31868131868131866,0.07160493827160494,0.11693548387096775
Cycle 25 - JUNG (FEID),2.5,-21.71477344114686,72.0,399.0,22.0,50.0,380.0,0.3055555555555556,0.05472636815920398,0.09282700421940929
Cycle 25 - JUNG (FEID),2.75,-23.443599133001758,55.0,399.0,16.0,39.0,385.0,0.2909090909090909,0.0399002493765586,0.07017543859649122
Cycle 25 - JUNG (FEID),3.0,-25.172424824856655,49.0,399.0,15.0,34.0,386.0,0.30612244897959184,0.03740648379052369,0.06666666666666668
Cycle 25 - JUNG (FEID),3.25,-26.901250516711553,41.0,399.0,14.0,27.0,387.0,0.34146341463414637,0.034912718204488775,0.06334841628959276
Cycle 25 - JUNG (FEID),3.5,-28.63007620856645,34.0,399.0,13.0,21.0,388.0,0.38235294117647056,0.032418952618453865,0.05977011494252874
Cycle 25 - JUNG (FEID),3.75,-30.358901900421348,28.0,399.0,11.0,17.0,390.0,0.39285714285714285,0.02743142144638404,0.05128205128205127
Cycle 25 - JUNG (FEID),4.0,-32.087727592276245,23.0,399.0,9.0,14.0,392.0,0.391304347826087,0.022443890274314215,0.04245283018867924
Cycle 25 - MOSC (FEID),1.0,-16.925582495544482,268.0,399.0,165.0,103.0,311.0,0.6156716417910447,0.34663865546218486,0.4435483870967742
Cycle 25 - MOSC (FEID),1.25,-19.57352063554823,220.0,399.0,146.0,74.0,319.0,0.6636363636363637,0.3139784946236559,0.42627737226277373
Cycle 25 - MOSC (FEID),1.5,-22.221458775551984,188.0,399.0,130.0,58.0,324.0,0.6914893617021277,0.28634361233480177,0.40498442367601245
Cycle 25 - MOSC (FEID),1.75,-24.869396915555733,140.0,399.0,101.0,39.0,336.0,0.7214285714285714,0.2311212814645309,0.35008665511265163
Cycle 25 - MOSC (FEID),2.0,-27.517335055559485,119.0,399.0,87.0,32.0,342.0,0.7310924369747899,0.20279720279720279,0.3175182481751824
Cycle 25 - MOSC (FEID),2.25,-30.165273195563238,90.0,399.0,67.0,23.0,350.0,0.7444444444444445,0.1606714628297362,0.2642998027613412
Cycle 25 - MOSC (FEID),2.5,-32.81321133556698,72.0,399.0,53.0,19.0,357.0,0.7361111111111112,0.12926829268292683,0.21991701244813278
Cycle 25 - MOSC (FEID),2.75,-35.461149475570735,46.0,399.0,33.0,13.0,372.0,0.717391304347826,0.08148148148148149,0.14634146341463414
Cycle 25 - MOSC (FEID),3.0,-38.10908761557449,36.0,399.0,26.0,10.0,377.0,0.7222222222222222,0.06451612903225806,0.11845102505694759
Cycle 25 - MOSC (FEID),3.25,-40.75702575557824,33.0,399.0,24.0,9.0,379.0,0.7272727272727273,0.05955334987593052,0.11009174311926605
Cycle 25 - MOSC (FEID),3.5,-43.404963895581986,24.0,399.0,17.0,7.0,384.0,0.7083333333333334,0.04239401496259352,0.08
Cycle 25 - MOSC (FEID),3.75,-46.05290203558574,17.0,399.0,14.0,3.0,387.0,0.8235294117647058,0.034912718204488775,0.06698564593301434
Cycle 25 - MOSC (FEID),4.0,-48.70084017558949,16.0,399.0,13.0,3.0,388.0,0.8125,0.032418952618453865,0.06235011990407674
